,,,,,
,2026 전국대학교로켓발사대회 전자팀 체계요구사항명세서(SSRS),,,,
,,,,,
,"에비오닉스, 전원(배터리), 배선, 아밍, 회수 및 통신 부문 요구사항 총괄",,,,
,,,실시간 성능 및 처리,시스템은 real-time performance (≥40Hz telemetry rate)를 최우선으로 보장해야만 한다.,3.2.16
,,,,시스템은 최소 40Hz telemetry rate를 유지해야만 한다.,3.2.17
,,,,GCS는 telemetry 수신 및 UI 업데이트를 blocking 없이 처리해야만 한다.,3.2.18
,,,,GCS telemetry processing은 별도의 worker thread에서 수행되어야만 한다.,3.2.19
,,,,GCS UI thread는 serial I/O 또는 parsing 작업을 수행해서는 안된다.,3.2.20
,,,패킷 무결성,모든 패킷은 sync byte (0xAA 0x55)를 포함해야만 한다.,3.2.21
,,,,모든 packet은 CRC16 검증을 포함해야만 한다.,3.2.22
,,,,CRC 검증 실패 패킷은 반드시 폐기되어야만 한다.,3.2.23
,,,,packet sequence는 best-effort ordering만 보장해야만 한다.,3.2.24
,,,통신 방식 (Downlink / Uplink),TelemetryPacket은 packet loss를 허용하는 streaming 구조로 동작해야만 한다.,3.2.25
,,,,Downlink는 loss-tolerant streaming 구조로 설계되어야만 한다.,3.2.26
,,,,Uplink는 reliability 기반 ACK 구조로 설계되어야만 한다.,3.2.27
,,,,CommandPacket은 반드시 ACK 기반 응답 구조를 사용해야만 한다.,3.2.28
,,,,uplink는 반드시 ACK를 포함해야만 한다.,3.2.29
,,,,Avionics는 수신된 command에 대해 AckPacket을 반환해야만 한다.,3.2.30
,,,,GCS는 CommandPacket을 Avionics로 전송할 수 있어야만 한다.,3.2.31
,,,GCS 안정성 및 복구 기능,GCS는 serial disconnect를 자동 감지하고 복구를 시도해야만 한다.,3.2.32
,,,,telemetry timeout 발생 시 link loss 상태를 UI에 표시해야만 한다.,3.2.33
,,,,parser는 invalid stream에 대해 crash 없이 복구해야만 한다.,3.2.34
,,,,시스템은 장시간 실행에서도 안정적으로 동작해야만 한다.,3.2.35
,,,Arduino Gateway 역할 제한,Arduino는 dumb RF bridge 역할만 수행해야만 한다.,3.2.36
,,,,Arduino는 telemetry 또는 command payload를 해석하거나 수정해서는 안된다.,3.2.37
,,,Telemetry 안정성,TelemetryPacket은 packet loss를 허용하는 streaming 구조로 동작해야만 한다.,3.2.38
,,,,packet loss 환경에서도 시스템은 정상 동작해야만 한다.,3.2.39
,,,ACK,Uplink는 reliability 기반 ACK 구조로 동작해야만 한다.,3.2.40
,,,,CommandPacket은 반드시 ACK 기반 응답 구조를 사용해야만 한다.,3.2.41
,,,,Avionics는 command 수신 시 AckPacket을 반드시 반환해야만 한다.,3.2.42
